date_utc,twilight,moon,ra_deg,dec_deg,mag,surf_brt,sub_lon,sub_lat,distance_au,elong_deg,elong_dir
2022-Aug-29 00:00,C,m,7.20486,1.40840,-2.851,5.310,237.313659,3.018420,4.06796145102324,148.4505,/L
2022-Aug-30 00:00,C,m,7.11748,1.36714,-2.857,5.309,27.985729,3.018585,4.06014267343628,149.5119,/L
2022-Aug-31 00:00,N,m,7.02786,1.32501,-2.862,5.308,178.658947,3.018552,4.05257513354559,150.5760,/L
2022-Sep-01 00:00,N,m,6.93605,1.28201,-2.867,5.307,329.333248,3.018323,4.04526215867477,151.6428,/L
2022-Sep-02 00:00,N,m,6.84210,1.23819,-2.872,5.306,120.008545,3.017895,4.03820666589363,152.7121,/L
2022-Sep-03 00:00,N,m,6.74611,1.19358,-2.877,5.305,270.684740,3.017267,4.03141315201553,153.7839,/L
2022-Sep-04 00:00,N,m,6.64812,1.14821,-2.882,5.304,61.361747,3.016440,4.02488325651115,154.8580,/L
2022-Sep-05 00:00,N,m,6.54822,1.10211,-2.887,5.303,212.039467,3.015413,4.01862031637048,155.9343,/L
2022-Sep-06 00:00,N,m,6.44646,1.05532,-2.891,5.302,2.717822,3.014186,4.01262634343449,157.0128,/L
2022-Sep-07 00:00,N,m,6.34291,1.00786,-2.895,5.301,153.396707,3.012760,4.00690354765030,158.0934,/L
2022-Sep-08 00:00,N,m,6.23762,0.95976,-2.899,5.300,304.076057,3.011134,4.00145391417665,159.1758,/L
2022-Sep-09 00:00,N,m,6.13065,0.91105,-2.903,5.299,94.755780,3.009310,3.99627956051572,160.2602,/L
2022-Sep-10 00:00,N,m,6.02208,0.86175,-2.906,5.298,245.435784,3.007287,3.99138418078686,161.3463,/L
2022-Sep-11 00:00,N,m,5.91199,0.81191,-2.910,5.297,36.115974,3.005068,3.98676891189730,162.4339,/L
2022-Sep-12 00:00,N,,5.80046,0.76156,-2.913,5.297,186.796253,3.002652,3.98243675545262,163.5230,/L
2022-Sep-13 00:00,N,,5.68757,0.71073,-2.916,5.296,337.476538,3.000043,3.97838929118118,164.6134,/L
2022-Sep-14 00:00,N,,5.57342,0.65948,-2.919,5.295,128.156715,2.997241,3.97462884734438,165.7048,/L
2022-Sep-15 00:00,N,,5.45806,0.60782,-2.922,5.295,278.836708,2.994250,3.97115695376304,166.7969,/L
2022-Sep-16 00:00,N,,5.34160,0.55581,-2.924,5.294,69.516415,2.991070,3.96797568557285,167.8894,/L
2022-Sep-17 00:00,N,,5.22409,0.50346,-2.926,5.294,220.195735,2.987705,3.96508835645590,168.9817,/L
2022-Sep-18 00:00,N,,5.10564,0.45082,-2.928,5.293,10.874556,2.984156,3.96249586657127,170.0732,/L
2022-Sep-19 00:00,A,,4.98632,0.39794,-2.930,5.293,161.552770,2.980426,3.96020071761721,171.1628,/L
2022-Sep-20 00:00,A,,4.86623,0.34484,-2.931,5.293,312.230280,2.976519,3.95820372767136,172.2490,/L
2022-Sep-21 00:00,A,,4.74545,0.29157,-2.932,5.292,102.906960,2.972436,3.95650674538332,173.3294,/L
2022-Sep-22 00:00,A,,4.62406,0.23816,-2.934,5.292,253.582727,2.968182,3.95511018011588,174.3998,/L
2022-Sep-23 00:00,A,,4.50217,0.18465,-2.934,5.292,44.257467,2.963760,3.95401536360306,175.4520,/L
2022-Sep-24 00:00,A,,4.37984,0.13109,-2.935,5.292,194.931076,2.959171,3.95322448941341,176.4686,/L
