date_utc,twilight,moon,ra_deg,dec_deg,mag,surf_brt,sub_lon,sub_lat,distance_au,elong_deg,elong_dir
2028-Jan-03 00:00,,m,20.46289,5.88206,0.469,6.507,173.227396,-14.379190,9.09532722122579,98.9886,/T
2028-Jan-04 00:00,,m,20.47905,5.89363,0.473,6.507,263.928458,-14.393938,9.11173843168759,97.9896,/T
2028-Jan-05 00:00,,m,20.49692,5.90588,0.477,6.507,354.627627,-14.409584,9.12818871119921,96.9924,/T
2028-Jan-06 00:00,,m,20.51650,5.91880,0.481,6.506,85.324931,-14.426121,9.14467301090071,95.9972,/T
2028-Jan-07 00:00,,m,20.53780,5.93239,0.484,6.506,176.020401,-14.443543,9.16118624538971,95.0038,/T
2028-Jan-08 00:00,,m,20.56080,5.94666,0.488,6.506,266.714066,-14.461842,9.17772336019049,94.0124,/T
2028-Jan-09 00:00,,m,20.58551,5.96158,0.492,6.505,357.405957,-14.481013,9.19427942583594,93.0228,/T
2028-Jan-10 00:00,,m,20.61190,5.97717,0.495,6.505,88.096104,-14.501048,9.21084958896867,92.0352,/T
2028-Jan-11 00:00,,m,20.63997,5.99341,0.499,6.505,178.784539,-14.521941,9.22742904301382,91.0494,/T
2028-Jan-12 00:00,,m,20.66969,6.01029,0.502,6.504,269.471292,-14.543683,9.24401313925765,90.0655,/T
2028-Jan-13 00:00,,m,20.70105,6.02781,0.505,6.503,0.156393,-14.566270,9.26059732124502,89.0834,/T
2028-Jan-14 00:00,,,20.73404,6.04596,0.508,6.503,90.839871,-14.589694,9.27717714574242,88.1031,/T
2028-Jan-15 00:00,,,20.76864,6.06472,0.512,6.502,181.521755,-14.613948,9.29374821628598,87.1246,/T
2028-Jan-16 00:00,,,20.80485,6.08411,0.515,6.501,272.202074,-14.639027,9.31030602484555,86.1479,/T
2028-Jan-17 00:00,,,20.84267,6.10410,0.518,6.500,2.880857,-14.664924,9.32684610143969,85.1730,/T
2028-Jan-18 00:00,,,20.88211,6.12471,0.521,6.500,93.558133,-14.691632,9.34336393072182,84.1998,/T
2028-Jan-19 00:00,,,20.92315,6.14594,0.524,6.499,184.233931,-14.719144,9.35985494192276,83.2284,/T
2028-Jan-20 00:00,,,20.96580,6.16777,0.527,6.498,274.908281,-14.747452,9.37631449869476,82.2587,/T
2028-Jan-21 00:00,,,21.01005,6.19020,0.529,6.497,5.581213,-14.776549,9.39273789406316,81.2908,/T
2028-Jan-22 00:00,,,21.05588,6.21324,0.532,6.495,96.252759,-14.806426,9.40912035210466,80.3247,/T
2028-Jan-23 00:00,,,21.10327,6.23686,0.535,6.494,186.922949,-14.837075,9.42545714380011,79.3604,/T
2028-Jan-24 00:00,,,21.15222,6.26106,0.537,6.493,277.591816,-14.868485,9.44174339639375,78.3978,/T
2028-Jan-25 00:00,,,21.20271,6.28584,0.540,6.492,8.259394,-14.900649,9.45797422683044,77.4371,/T
2028-Jan-26 00:00,,,21.25472,6.31118,0.542,6.491,98.925718,-14.933557,9.47414476138870,76.4781,/T
2028-Jan-27 00:00,,,21.30823,6.33708,0.544,6.489,189.590821,-14.967198,9.49025016601028,75.5210,/T
2028-Jan-28 00:00,,,21.36324,6.36352,0.547,6.488,280.254741,-15.001563,9.50628571023688,74.5657,/T
2028-Jan-29 00:00,,m,21.41973,6.39051,0.549,6.486,10.917512,-15.036640,9.52224670538837,73.6122,/T
2028-Jan-30 00:00,,m,21.47769,6.41802,0.551,6.485,101.579171,-15.072420,9.53812851254963,72.6606,/T
2028-Jan-31 00:00,,m,21.53710,6.44607,0.553,6.483,192.239755,-15.108890,9.55392668178049,71.7108,/T
2028-Feb-01 00:00,,m,21.59795,6.47463,0.555,6.482,282.899299,-15.146040,9.56963689233415,70.7629,/T
2028-Feb-02 00:00,,m,21.66023,6.50370,0.557,6.480,13.557839,-15.183858,9.58525491640239,69.8168,/T
2028-Feb-03 00:00,,m,21.72393,6.53328,0.559,6.478,104.215411,-15.222333,9.60077669067311,68.8726,/T
2028-Feb-04 00:00,,m,21.78904,6.56335,0.560,6.477,194.872050,-15.261452,9.61619821762111,67.9302,/T
2028-Feb-05 00:00,,m,21.85553,6.59392,0.562,6.475,285.527790,-15.301203,9.63151572641338,66.9897,/T
2028-Feb-06 00:00,,m,21.92340,6.62497,0.564,6.473,16.182665,-15.341576,9.64672555682009,66.0510,/T
2028-Feb-07 00:00,,m,21.99261,6.65650,0.565,6.471,106.836707,-15.382557,9.66182410598027,65.1140,/T
2028-Feb-08 00:00,,m,22.06315,6.68850,0.567,6.469,197.489949,-15.424136,9.67680786114422,64.1789,/T
2028-Feb-09 00:00,,m,22.13499,6.72094,0.568,6.467,288.142422,-15.466300,9.69167343307937,63.2456,/T
2028-Feb-10 00:00,,m,22.20811,6.75383,0.569,6.465,18.794159,-15.509041,9.70641747239168,62.3140,/T
2028-Feb-11 00:00,,m,22.28248,6.78715,0.571,6.463,109.445187,-15.552346,9.72103673272216,61.3841,/T
2028-Feb-12 00:00,,,22.35810,6.82089,0.572,6.461,200.095539,-15.596206,9.73552787603531,60.4560,/T
2028-Feb-13 00:00,,,22.43496,6.85504,0.573,6.459,290.745242,-15.640611,9.74988755695030,59.5294,/T
2028-Feb-14 00:00,A,,22.51305,6.88961,0.574,6.457,21.394329,-15.685551,9.76411244091923,58.6045,/T
2028-Feb-15 00:00,A,,22.59238,6.92460,0.575,6.455,112.042828,-15.731017,9.77819910374245,57.6813,/T
2028-Feb-16 00:00,A,,22.67291,6.95998,0.576,6.452,202.690770,-15.776999,9.79214408273869,56.7596,/T
2028-Feb-17 00:00,A,,22.75465,6.99577,0.576,6.450,293.338186,-15.823485,9.80594388258888,55.8394,/T
2028-Feb-18 00:00,A,,22.83757,7.03195,0.577,6.448,23.985108,-15.870465,9.81959501834682,54.9209,/T
2028-Feb-19 00:00,A,,22.92165,7.06852,0.578,6.445,114.631567,-15.917928,9.83309411033136,54.0039,/T
2028-Feb-20 00:00,A,,23.00688,7.10546,0.578,6.443,205.277594,-15.965863,9.84643781846324,53.0884,/T
2028-Feb-21 00:00,A,,23.09322,7.14277,0.579,6.440,295.923222,-16.014258,9.85962276744062,52.1745,/T
2028-Feb-22 00:00,A,,23.18066,7.18042,0.579,6.438,26.568481,-16.063100,9.87264570420742,51.2622,/T
2028-Feb-23 00:00,A,,23.26919,7.21842,0.579,6.436,117.213403,-16.112379,9.88550336466610,50.3514,/T
2028-Feb-24 00:00,A,,23.35877,7.25676,0.580,6.433,207.858020,-16.162082,9.89819255603962,49.4421,/T
2028-Feb-25 00:00,A,,23.44940,7.29541,0.580,6.430,298.502363,-16.212197,9.91071007424444,48.5344,/T
